FROM,ASID,SOURCE_ID,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,SECTION,XSP,STCHAIN,ENDCHAIN,ASSET_LEN,_DBFOCODE,_SOURCE,CREATEDATE,START_DATE,WKT
A19_Footway_0,130,2600000130,CONCRETE FLAGS,3.877070115,1.5,438707.939940234,473702.593298392,438704.782081833,473700.343942263,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/135,L2,506.31,510.19,3.88,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(438707.939940234 473702.593298392,438704.782081833 473700.343942263)"
A19_Footway_0,131,2600000131,ASPHALT,104.258688772,1.5,439069.535339884,474165.000935583,439013.12263183,474077.406009369,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/139,L1,22.89,127.148688772,104.258688772,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(439069.535339884 474165.000935583,439013.12263183 474077.406009369)"
A19_Footway_0,132,2600000132,CONCRETE,5.299223011,2,439174.404272029,474311.838903651,439171.221678444,474307.840048312,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/139,L4,285.36,290.74,5.37999999999999,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(439174.404272029 474311.838903651,439171.221678444 474307.840048312)"
A19_Footway_0,133,2600000133,ASPHALT,9.372096662,2.8,441556.938353109,477801.28006151,441549.872335745,477795.841618248,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/171,L1,857.48,865.73,8.25,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(441556.938353109 477801.28006151,441549.872335745 477795.841618248)"
A19_Footway_0,134,2600000134,ASPHALT,96.847349023,1.7,442165.910320975,479230.620916946,442129.500131152,479140.906597403,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/231,L1,361.24,458.71,97.47,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(442165.910320975 479230.620916946,442129.500131152 479140.906597403)"
A19_Footway_0,135,2600000135,ASPHALT,17.615167265,2,455705.685819246,520872.661006963,455717.278375154,520864.343387857,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A1053/11,R1,941.27,951.8,10.53,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(455705.685819246 520872.661006963,455717.278375154 520864.343387857)"
A19_Footway_0,136,2600000136,CONCRETE,75.810775738,2,440135.778396417,549661.440304611,440121.910203645,549735.499105499,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/285,L1,496.92,573.19,76.27,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(440135.778396417 549661.440304611,440121.910203645 549735.499105499)"
A19_Footway_0,137,2600000137,CONCRETE,41.778584206,1.5,433397.996915209,564772.254878933,433377.565653801,564808.684451076,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/6,L1,660.62,702.37,41.75,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433397.996915209 564772.254878933,433377.565653801 564808.684451076)"
A19_Footway_0,138,2600000138,CONCRETE,28.01756762,1.5,433377.565653801,564808.684451076,433361.471294532,564831.557903618,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/6,L1,702.37,731,28.63,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433377.565653801 564808.684451076,433361.471294532 564831.557903618)"
A19_Footway_0,139,2600000139,CONCRETE,33.767046454,1.5,433621.718403127,564373.12912749,433613.498077209,564405.879752722,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/6,L2,196.24,230.02,33.78,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433621.718403127 564373.12912749,433613.498077209 564405.879752722)"
